Id,TextSora2,aya,NomSora
5885,إِذَا السَّمَاءُ انْشَقَّتْ,1,الإنشقاق
5886,وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ,2,الإنشقاق
5887,وَإِذَا الْأَرْضُ مُدَّتْ,3,الإنشقاق
5888,وَأَلْقَتْ مَا فِيهَا وَتَخَلَّتْ,4,الإنشقاق
5889,وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ,5,الإنشقاق
5890,يَا أَيُّهَا الْإِنْسَانُ إِنَّكَ كَادِحٌ إِلَى رَبِّكَ كَدْحًا فَمُلَاقِيهِ,6,الإنشقاق
5891,فَأَمَّا مَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ,7,الإنشقاق
5892,فَسَوْفَ يُحَاسَبُ حِسَابًا يَسِيرًا,8,الإنشقاق
5893,وَيَنْقَلِبُ إِلَى أَهْلِهِ مَسْرُورًا,9,الإنشقاق
5894,وَأَمَّا مَنْ أُوتِيَ كِتَابَهُ وَرَاءَ ظَهْرِهِ,10,الإنشقاق
5895,فَسَوْفَ يَدْعُو ثُبُورًا,11,الإنشقاق
5896,وَيَصْلَى سَعِيرًا,12,الإنشقاق
5897,إِنَّهُ كَانَ فِي أَهْلِهِ مَسْرُورًا,13,الإنشقاق
5898,إِنَّهُ ظَنَّ أَنْ لَنْ يَحُورَ,14,الإنشقاق
5899,بَلَى إِنَّ رَبَّهُ كَانَ بِهِ بَصِيرًا,15,الإنشقاق
5900,فَلَا أُقْسِمُ بِالشَّفَقِ,16,الإنشقاق
5901,وَاللَّيْلِ وَمَا وَسَقَ,17,الإنشقاق
5902,وَالْقَمَرِ إِذَا اتَّسَقَ,18,الإنشقاق
5903,لَتَرْكَبُنَّ طَبَقًا عَنْ طَبَقٍ,19,الإنشقاق
5904,فَمَا لَهُمْ لَا يُؤْمِنُونَ,20,الإنشقاق
5905,وَإِذَا قُرِئَ عَلَيْهِمُ الْقُرْآَنُ لَا يَسْجُدُونَ,21,الإنشقاق
5906,بَلِ الَّذِينَ كَفَرُوا يُكَذِّبُونَ,22,الإنشقاق
5907,وَاللَّهُ أَعْلَمُ بِمَا يُوعُونَ,23,الإنشقاق
5908,فَبَشِّرْهُمْ بِعَذَابٍ أَلِيمٍ,24,الإنشقاق
5909,إِلَّا الَّذِينَ آَمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ,25,الإنشقاق
