Id,TextSora2,aya,NomSora
5830,إِذَا السَّمَاءُ انْفَطَرَتْ,1,الإنفطار
5831,وَإِذَا الْكَوَاكِبُ انْتَثَرَتْ,2,الإنفطار
5832,وَإِذَا الْبِحَارُ فُجِّرَتْ,3,الإنفطار
5833,وَإِذَا الْقُبُورُ بُعْثِرَتْ,4,الإنفطار
5834,عَلِمَتْ نَفْسٌ مَا قَدَّمَتْ وَأَخَّرَتْ,5,الإنفطار
5835,يَا أَيُّهَا الْإِنْسَانُ مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ,6,الإنفطار
5836,الَّذِي خَلَقَكَ فَسَوَّاكَ فَعَدَلَكَ,7,الإنفطار
5837,فِي أَيِّ صُورَةٍ مَا شَاءَ رَكَّبَكَ,8,الإنفطار
5838,كَلَّا بَلْ تُكَذِّبُونَ بِالدِّينِ,9,الإنفطار
5839,وَإِنَّ عَلَيْكُمْ لَحَافِظِينَ,10,الإنفطار
5840,كِرَامًا كَاتِبِينَ,11,الإنفطار
5841,يَعْلَمُونَ مَا تَفْعَلُونَ,12,الإنفطار
5842,إِنَّ الْأَبْرَارَ لَفِي نَعِيمٍ,13,الإنفطار
5843,وَإِنَّ الْفُجَّارَ لَفِي جَحِيمٍ,14,الإنفطار
5844,يَصْلَوْنَهَا يَوْمَ الدِّينِ,15,الإنفطار
5845,وَمَا هُمْ عَنْهَا بِغَائِبِينَ,16,الإنفطار
5846,وَمَا أَدْرَاكَ مَا يَوْمُ الدِّينِ,17,الإنفطار
5847,ثُمَّ مَا أَدْرَاكَ مَا يَوْمُ الدِّينِ,18,الإنفطار
5848,يَوْمَ لَا تَمْلِكُ نَفْسٌ لِنَفْسٍ شَيْئًا وَالْأَمْرُ يَوْمَئِذٍ لِلَّهِ,19,الإنفطار
